;;;;;;;;;;;x;;;;
EVTOPTA123010;OK.;;;;;;;;;;x;;;;
EVTNAME510000;Agitating for liberty!;;;;;;;;;;x;;;;
EVTDESC510000;Terra Equinoxialis and Gothia's other colonies have groaned under the weight of mercantilist policies and gross abuse of power for far too long. In the north, Gothia's colonies in Mexico and along the Mississippi recently managed to wrest independence from the tyrannical government in Liyun, and it's high time we aspire for independence as well!;;;;;;;;;;x;;;;
EVTOPTA510000;We will have to tread carefully...;;;;;;;;;;x;;;;
EVTNAME510001;Ultimatum to Gothia?;;;;;;;;;;x;;;;
EVTDESC510001;Every day, the cries for independence and liberty grow ever-louder. Now is the time to strike! Now is the time for action! If we hestitate now, our great conspiracy will be in jeopardy!;;;;;;;;;;x;;;;
EVTOPTA510001;Issue the demands;;;;;;;;;;x;;;;
EVTOPTB510001;Actually, you know what? Never mind all this.;;;;;;;;;;x;;;;
EVTNAME510002;The Great Conspiracy;;;;;;;;;;x;;;;
EVTDESC510002;Our supposedly loyal colony of Terra Equinoxialis has sent us an ultimatum, demanding we immediately grand it total independence 'or else face the consequences'. Reports from our men on the ground also suggest that there may be Equinoxialian sympathizers in other colonial governments. We must tread carefully- we do not know the full extent of this conspiracy directed against us. Should we fight these upstart rebels and whoever their friends may be, or should we capitulate?;;;;;;;;;;x;;;;
EVTOPTA510002;We shall fight!;;;;;;;;;;x;;;;
EVTOPTB510002;Better to let the colonials go.;;;;;;;;;;x;;;;
EVTNAME510003;A Great Conspiracy?;;;;;;;;;;x;;;;
EVTDESC510003;Rumors have reached us, suggesting that elements of Terra Equinoxialis' colonial government have begun conspiring against us and covertly agitating for their own independence. We should be wary- we have no idea when they may try to strike, and what schemes they may concoct in the process.;;;;;;;;;;x;;;;
EVTOPTA510003;Concerning.;;;;;;;;;;x;;;;
EVTNAME510004;Gothia declares war!;;;;;;;;;;x;;;;
EVTDESC510004;The Gothic government has refused to grant us independence peacefully. So be it- let us win our liberty if it will not be granted.;;;;;;;;;;x;;;;
EVTOPTA510004;To arms, ye who yearn for freedom!;;;;;;;;;;x;;;;
EVTNAME510005;The call to arms;;;;;;;;;;x;;;;
EVTDESC510005;The Equinoxialians have called us to fight- now is the time for our great struggle for independence.;;;;;;;;;;x;;;;
EVTOPTA510005;Let us fight for freedom!;;;;;;;;;;x;;;;
EVTNAME510006;Peruvian co-conspirators?;;;;;;;;;;x;;;;
EVTDESC510006;The cause of freedom and our own struggle for independence would be greatly bolstered by the help of our repressed brothers. Should we reach out to the Peruvians and see if they are willing to commit to the struggle?;;;;;;;;;;x;;;;
EVTOPTA510006;Let's make an offer to Peru.;;;;;;;;;;x;;;;
EVTOPTB510006;Our struggle is ours alone.;;;;;;;;;;x;;;;
EVTNAME510007;Gothiolan co-conspirators?;;;;;;;;;;x;;;;
EVTDESC510007;The cause of freedom and our own struggle for independence would be greatly bolstered by the help of our repressed brothers. Should we reach out to the Gothiolans and see if they are willing to commit to the struggle?;;;;;;;;;;x;;;;
EVTOPTA510007;Let's make an offer to Gothiola.;;;;;;;;;;x;;;;
EVTOPTB510007;Our struggle is ours alone.;;;;;;;;;;x;;;;
EVTNAME510008;Charcas co-conspirators?;;;;;;;;;;x;;;;
EVTDESC510008;The cause of freedom and our own struggle for independence would be greatly bolstered by the help of our repressed brothers. Should we reach out to Charcas and see if they are willing to commit to the struggle?;;;;;;;;;;x;;;;
EVTOPTA510008;Let's make an offer to Charcas.;;;;;;;;;;x;;;;
EVTOPTB510008;Our struggle is ours alone.;;;;;;;;;;x;;;;
EVTNAME510009;Jucatanhan co-conspirators?;;;;;;;;;;x;;;;
EVTDESC510009;The cause of freedom and our own struggle for independence would be greatly bolstered by the help of our repressed brothers. Should we reach out to the Jucatanhans and see if they are willing to commit to the struggle?;;;;;;;;;;x;;;;
EVTOPTA510009;Let's make an offer to Jucatanha.;;;;;;;;;;x;;;;
EVTOPTB510009;Our struggle is ours alone.;;;;;;;;;;x;;;;
EVTNAME510010;Naua Flandesian co-conspirators?;;;;;;;;;;x;;;;
EVTDESC510010;The cause of freedom and our own struggle for independence would be greatly bolstered by the help of our repressed brothers. Should we reach out to the Naua Flandesians and see if they are willing to commit to the struggle?;;;;;;;;;;x;;;;
EVTOPTA510010;Let's make an offer to Naua Flandés.;;;;;;;;;;x;;;;
EVTOPTB510010;Our struggle is ours alone.;;;;;;;;;;x;;;;
EVTNAME510011;Figuyeran co-conspirators?;;;;;;;;;;x;;;;
EVTDESC510011;The cause of freedom and our own struggle for independence would be greatly bolstered by the help of our repressed brothers. Should we reach out to the Figuyerans and see if they are willing to commit to the struggle?;;;;;;;;;;x;;;;
EVTOPTA510011;Let's make an offer to Figuyeras.;;;;;;;;;;x;;;;
EVTOPTB510011;Our struggle is ours alone.;;;;;;;;;;x;;;;
EVTNAME510012;Victorian co-conspirators?;;;;;;;;;;x;;;;
EVTDESC510012;The cause of freedom and our own struggle for independence would be greatly bolstered by the help of our repressed brothers. Should we reach out to the Victorians and see if they are willing to commit to the struggle?;;;;;;;;;;x;;;;
EVTOPTA510012;Let's make an offer to Victoria.;;;;;;;;;;x;;;;
EVTOPTB510012;Our struggle is ours alone.;;;;;;;;;;x;;;;
EVTNAME510013;Invitation to Conspiracy;;;;;;;;;;x;;;;
EVTDESC510013;Equinoxialian agents have covertly contacted us, making vague noises about 'the Great Struggle'. We gather that they aim to fight for their independence at some point, and want to see if we also want to join the fight. Shall we commit ourselves to the cause of independence? If we commit ourselves now, we won't be able to back out when the time comes.;;;;;;;;;;x;;;;
EVTOPTA510013;We will join their plot.;;;;;;;;;;x;;;;
EVTOPTB510013;Our loyalties lay with Gothia!;;;;;;;;;;x;;;;
EVTNAME500000;The Death of Pèitre VI;;;;;;;;;;x;;;;
EVTDESC500000;Pèitre VI, King of Gothia since 1806, passed away peacefully last night after a period of illness and declining health. His sister, Princess Onecca, will be crowned Queen Onecca shortly. Liberals are excited by Onecca's ascension, as the heir is known to be a free thinker. Others express a note of concern, as Onecca, born in 1805, has yet to marry, much less have any children.;;;;;;;;;;x;;;;
EVTOPTA500000;Long live Queen Onecca!;;;;;;;;;;x;;;;
EVTNAME500000_NEWS_LONG;King Pèitre VI of Gothia died last night. Princess Onecca, his heir, is expected to be crowned queen shortly and without trouble. Liberals are excited by Onecca's ascension to the throne, but traditional royalists worry about the soon-to-be-queen's lack of a consort and any direct heirs.;;;;;;;;;;x;;;;
EVTNAME500000_NEWS_MEDIUM;King Pèitre VI of Gothia died last night. Princess Onecca, his heir, is expected to be crowned queen shortly and without trouble. Liberals are excited by Onecca's ascension to the throne, but traditional royalists worry about the soon-to-be-queen's lack of a consort and any direct heirs.;;;;;;;;;;x;;;;
EVTNAME500000_NEWS_SHORT;King Pèitre VI of Gothia died last night. His daughter, the free-thinking Princess Onecca, will be shortly crowned queen.;;;;;;;;;;x;;;;
EVTNAME500001;The Panama Canal reopens!;;;;;;;;;;x;;;;
EVTDESC500001;Construction on the Canal first began in 1730, and by the middle of the century small ships were able to cross the isthmus via the canal. However, 18th-century construction methods were crude compared to modern techniques, and the Canal has occassionally needed to be closed for maintenance and upgrades. The latest round of renovations was extremely challenging, but it has finally completed, and now the canal is open and ready for work once more.;;;;;;;;;;x;;;;
EVTOPTA500001;Imagine this century without the Canal! How horrifying.;;;;;;;;;;x;;;;
EVTNAME500001_NEWS_LONG;The Panama Canal has reopened, after a period of reconstruction and renovations. After prolonged period closed, the canal is open for business again, and this time the builders say that the newest work done should last for a century.;;;;;;;;;;x;;;;
EVTNAME500001_NEWS_MEDIUM;The Panama Canal has reopened, after a period of reconstruction and renovations. After prolonged period closed, the canal is open for business again, and this time the builders say that the newest work done should last for a century.;;;;;;;;;;x;;;;
EVTNAME500001_NEWS_SHORT;The Panama Canal has reopened, after a period of reconstruction.;;;;;;;;;;x;;;;
EVTNAME500002;Queen Onecca has no heir;;;;;;;;;;x;;;;
EVTDESC500002;Queen Onecca still has not married and still has not produced any heirs. The years have begun to take their toll on her, and it is extremely unlikely she will ever be able to produce an heir at this point, even if she wanted to.;;;;;;;;;;x;;;;
EVTOPTA500002;This could be a problem in the future.;;;;;;;;;;x;;;;
EVTNAME500003;An heir to Onecca?;;;;;;;;;;x;;;;
EVTDESC500003;As the years progress, questions about the succession to the throne and Queen Onecca's heir have become louder and louder. The government has already put out quiet feelers to some of the most prestigious dynasties of Europe, and has now approached Queen Onecca herself about naming an heir to the throne. Each dynasty has its own preferred style of government, and will likely try to institute it in Gothia should they succeed to the throne. Which dynasty should inherit Onecca's crown?;;;;;;;;;;x;;;;
EVTOPTA500003;The Frankish branch of the House of Margens will respect our ways.;;;;;;;;;;x;;;;
EVTOPTB500003;The Romanian Calcahn dynasty will bring autocracy and order.;;;;;;;;;;x;;;;
EVTOPTC500003;The Norwegian Folcwaldings prefer to let parliaments do the governing.;;;;;;;;;;x;;;;
EVTOPTD500003;Onecca will brook no discussion about her death while she still lives!- No heir is named.;;;;;;;;;;x;;;;
EVTNAME500004;The Death of Queen Onecca;;;;;;;;;;x;;;;
EVTDESC500004;Queen Onecca's death, although long anticipated, still caught the nation by surprise. No rumors of ill health had spread in the papers, no reports of doctors rushing to the royal palace. Her passing came with no warning. As the nation mourns, her Frankish heir readies for the throne. Royalists in the Senate have already put forward legislation that reforms the Gothic government more to the new monarch's liking.;;;;;;;;;;x;;;;
EVTOPTA500004;Rest in Peace, Onecca.;;;;;;;;;;x;;;;
EVTNAME500004_NEWS_LONG;Queen Onecca of Gothia has passed away, with little warning of her decling health beforehand. A member of the Frankish branch of the House of Margens is arriving at the Gothic capital to be crowned the kingdom's new monarch.;;;;;;;;;;x;;;;
EVTNAME500004_NEWS_MEDIUM;Queen Onecca of Gothia has passed away, with little warning of her decling health beforehand. A member of the Frankish branch of the House of Margens is arriving at the Gothic capital to be crowned the kingdom's new monarch.;;;;;;;;;;x;;;;
EVTNAME500004_NEWS_SHORT;Queen Onecca of Gothia has passed away. A member of the Frankish branch of the House of Margens is arriving at the royal capital to be crowned Gothia's new monarch.;;;;;;;;;;x;;;;
EVTNAME500005;The Death of Queen Onecca;;;;;;;;;;x;;;;
EVTDESC500005;Queen Onecca's death, although long anticipated, still caught the nation by surprise. No rumors of ill health had spread in the papers, no reports of doctors rushing to the royal palace. Her passing came with no warning. As the nation mourns, her Romanian heir readies for the throne. Royalists in the Senate have reluctantly put forward legislation that reforms the Gothic government more to the new monarch's liking.;;;;;;;;;;x;;;;
EVTOPTA500005;Rest in Peace, Onecca.;;;;;;;;;;x;;;;
EVTNAME500005_NEWS_LONG;Queen Onecca of Gothia has passed away, with little warning of her decling health beforehand. A member of the Romanian House of Calcahn is arriving at the Gothic capital to be crowned the kingdom's new monarch.;;;;;;;;;;x;;;;
EVTNAME500005_NEWS_MEDIUM;Queen Onecca of Gothia has passed away, with little warning of her decling health beforehand. A member of the Romanian House of Calcahn is arriving at the Gothic capital to be crowned the kingdom's new monarch.;;;;;;;;;;x;;;;
EVTNAME500005_NEWS_SHORT;Queen Onecca of Gothia has passed away. A member of the Romanian House of Calcahn is arriving at the royal capital to be crowned Gothia's new monarch.;;;;;;;;;;x;;;;
EVTNAME500006;The Death of Queen Onecca;;;;;;;;;;x;;;;
EVTDESC500006;Queen Onecca's death, although long anticipated, still caught the nation by surprise. No rumors of ill health had spread in the papers, no reports of doctors rushing to the royal palace. Her passing came with no warning. As the nation mourns, her Norwegian heir readies for the throne. Royalists in the Senate have reluctantly put forward legislation that reforms the Gothic government more to the new monarch's liking.;;;;;;;;;;x;;;;
EVTOPTA500006;Rest in Peace, Onecca.;;;;;;;;;;x;;;;
EVTNAME500006_NEWS_LONG;Queen Onecca of Gothia has passed away, with little warning of her decling health beforehand. A member of the Norwegian Folcwalding dynasty is arriving at the Gothic capital to be crowned the kingdom's new monarch.;;;;;;;;;;x;;;;
EVTNAME500006_NEWS_MEDIUM;Queen Onecca of Gothia has passed away, with little warning of her decling health beforehand. A member of the Norwegian Folcwalding dynasty is arriving at the Gothic capital to be crowned the kingdom's new monarch.;;;;;;;;;;x;;;;
EVTNAME500006_NEWS_SHORT;Queen Onecca of Gothia has passed away. A member of the Norwegian Folcwalding dynasty is arriving at the royal capital to be crowned Gothia's new monarch.;;;;;;;;;;x;;;;
EVTNAME500007;The Chaos of Queen Onecca;;;;;;;;;;x;;;;
EVTDESC500007;Queen Onecca's death, although long and anxiously anticipated, still caught the nation by surprise. No rumors of ill health had spread in the papers, no reports of doctors rushing to the royal palace. Her passing came with no warning. The government, unprepared, had no plan her place for her death. Unsurprisingly, pretenders have already crawled out of the woodwork to claim the Gothic crown for themselves. One particularly charismatic claimant has already amassed a large following and is marching towards the capital. The government could surrender the crown to this upstart at the cost of national dignity, but some member's of Onecca's council have also proposed forming a 'Long Regency Council' out of the Queen's inner circle. More radical voices have proposed simply abolishing the monarchy altogether, and ceding all executive power to an elected body, such as a reformed Senate.;;;;;;;;;;x;;;;
EVTOPTA500007;Give the crown to the pretender.;;;;;;;;;;x;;;;
EVTOPTB500007;Proclaim a regency council and shut down all opposition!;;;;;;;;;;x;;;;
EVTOPTC500007;End the monarchy and let the Senate rule!;;;;;;;;;;x;;;;
EVTNAME500008;Fall of the Western Roman Empire!;;;;;;;;;;x;;;;
EVTDESC500008;As the Gothonian monarchy crumbled into nothing, the last act of its crowned sovereign was to abdicate the title of Western Roman Emperor and release all imperial states from their obligations to the Empire. Whether this was an act of spite, to prevent any other monarch from claiming the venerable title, or an act of charity to protect the imperial states from being legally obligated to supporting a malign claimant to the imperial purple, the Western Roman Empire as an international institution has formally ceased to be.;;;;;;;;;;x;;;;
EVTOPTA500008;Sic transit gloria mundi.;;;;;;;;;;x;;;;
EVTNAME500008_NEWS_LONG;The Western Roman Empire has been dissolved in a last gesture by the Gothonian monarchy! This marks the end of an august, millennia-old institution.;;;;;;;;;;x;;;;
EVTNAME500008_NEWS_MEDIUM;The Western Roman Empire has been dissolved in a last gesture by the Gothonian monarchy! This marks the end of an august, millennia-old institution.;;;;;;;;;;x;;;;
EVTNAME500008_NEWS_SHORT;The Western Roman Empire has been dissolved! This marks the end of an august, millennia-old institution.;;;;;;;;;;x;;;;
EVTNAME11380025;Anarchists Declare Victory!;;;;;;;;;;x;;;;
EVTDESC11380025;The $COUNTRY_ADJ$ election has ended, with the Anarchists declaring victory in $CAPITAL$.;;;;;;;;;;x;;;;
EVTNAME11380026;Anarchist Surge;;;;;;;;;;x;;;;
EVTDESC11380026;Anarchists in $COUNTRY$ seem to have really managed to get into the minds of the masses this election cycle. Their rhetoric of mutualism, labor activism and individual freedoms is appealing more to the public than ever before.;;;;;;;;;;x;;;;
EVTOPTA11380026;We must keep an eye on this.;;;;;;;;;;x;;;;
EVTNAME321001;Establishing Unions;;;;;;;;;;x;;;;
EVTDESC321001;Our commune has no established trade unions! This is a ghastly oversight, and everyone agrees we must help labor organize. However, there are two opposing viewpoints on how the unions ought to function. The Communists argue that since the Commune is a worker's state, and unions are full of workers, then the government and the unions ought to be united, with unions part of the government apparatus. The Anarchists, by contrasts, argue that every worker should be organized, but the direction of that organization must be from base of laborers, bottom-up, and not directed by the government, top-down.;;;;;;;;;;x;;;;
EVTOPTA321001;There must be no opposition between the unions and the organs of power.;;;;;;;;;;x;;;;
EVTOPTB321001;Trade Unions play their own role in the Commune's struggle.;;;;;;;;;;x;;;;
EVTNAME321002;Unions and the Commune;;;;;;;;;;x;;;;
EVTDESC321002;The relationship between trade unions and the Commune has never been firmly settled one way or the other. Communists tend to argue that, for the sake of the Commune's stability, unions must take a subordinate role that answers to a government apparatus. Anarchists vehemently disagree with this, and state that free unions are key to maintaining the Commune's vitality.;;;;;;;;;;x;;;;
EVTOPTA321002;Side with the Communists.;;;;;;;;;;x;;;;
EVTOPTB321002;Side with the Anarchists.;;;;;;;;;;x;;;;
EVTNAME321003;Socialist Power Wanes;;;;;;;;;;x;;;;
EVTDESC321003;The Socialists once held a preeminent position among the committees and commissions that comprise the Commune. Their prestige has fallen in recent times, however, and fewer people side with them. It is time for new leadership in the Commune!;;;;;;;;;;x;;;;
EVTOPTA321003;Recognize Communist preeminence;;;;;;;;;;x;;;;
EVTOPTB321003;Recognize Anarchist preeminence;;;;;;;;;;x;;;;
EVTNAME321004;Anarchist Power Wanes;;;;;;;;;;x;;;;
EVTDESC321004;The Anarchists once held a preeminent position among the committees and commissions that comprise the Commune. Their prestige has fallen in recent times, however, and fewer people side with them. It is time for new leadership in the Commune!;;;;;;;;;;x;;;;
EVTOPTA321004;Recognize Communist preeminence;;;;;;;;;;x;;;;
EVTOPTB321004;Recognize Socialist preeminence;;;;;;;;;;x;;;;
EVTNAME321005;Communist Power Wanes;;;;;;;;;;x;;;;
EVTDESC321005;The Communists once held a preeminent position among the committees and commissions that comprise the Commune. Their prestige has fallen in recent times, however, and fewer people side with them. It is time for new leadership in the Commune!;;;;;;;;;;x;;;;
EVTOPTA321005;Recognize Anarchist preeminence;;;;;;;;;;x;;;;
EVTOPTB321005;Recognize Socialist preeminence;;;;;;;;;;x;;;;
EVTNAME321006;Conservatism On The Rise;;;;;;;;;;x;;;;
EVTDESC321006;Nostalgia for the old regime has made a shocking comeback. A growing number of citizens seem to actually endorse conservatism, and have embraced ideas counter to some of the basic tenets of our great Revolution.;;;;;;;;;;x;;;;
EVTOPTA321006;Wage a public campaign against conservatives!;;;;;;;;;;x;;;;
EVTOPTB321006;This is sedition! Imprison as many as you can find.;;;;;;;;;;x;;;;
EVTOPTC321006;Freedom includes the freedom to think wrongly.;;;;;;;;;;x;;;;
EVTNAME321007;Anarchist victory in provincial elections;;;;;;;;;;x;;;;
EVTDESC321007;Anarchists have gained a startling amount of support in $PROV$'s local elections. The composition of $PROV$'s communal government is now much more anarchist than it used to be.;;;;;;;;;;x;;;;
EVTOPTA321007;Congratulations, Anarchists.;;;;;;;;;;x;;;;
EVTNAME321008;Socialist victory in provincial elections;;;;;;;;;;x;;;;
EVTDESC321008;Socialists have gained a startling amount of support in $PROV$'s local elections. The composition of $PROV$'s communal government is now much more socialist than it used to be.;;;;;;;;;;x;;;;
EVTOPTA321008;Congratulations, Socialists.;;;;;;;;;;x;;;;
EVTNAME321009;Communist victory in provincial elections;;;;;;;;;;x;;;;
EVTDESC321009;Communists have gained a startling amount of support in $PROV$'s local elections. The composition of $PROV$'s communal government is now much more communist than it used to be.;;;;;;;;;;x;;;;
EVTOPTA321009;Congratulations, Communists.;;;;;;;;;;x;;;;
EVTNAME321010;Bourgeois Agitators;;;;;;;;;;x;;;;
EVTDESC321010;'Liberal' agitators have plagued $PROV$ in recent times, stirring up dissent and, most galling of all, accusing the Commune of not listening to the People's will! This is a gross affront to the government and, left unchallenged, could undermine everything we've worked toward.;;;;;;;;;;x;;;;
EVTOPTA321010;Shut these people down!;;;;;;;;;;x;;;;
EVTOPTB321010;The people of $PROV$ can be trusted to make the right choice.;;;;;;;;;;x;;;;
EVTNAME321011;Fascists Make Their Move;;;;;;;;;;x;;;;
EVTDESC321011;Having gained control of the levers of the government, Fascists have begun rapidly attacking legal norms and political institutions in the state. They claim that hard choices must be made, but that their actions will ultimately save the Commune.;;;;;;;;;;x;;;;
EVTOPTA321011;It's all for the best;;;;;;;;;;x;;;;
EVTOPTB321011;There are no need for these measures;;;;;;;;;;x;;;;
EVTOPTA1230026;Anarchy? Doesn't that mean total chaos?;;;;;;;;;;x;;;;
