;;;;;;;;;;;x;;;;
PROV238;Onondaga;;;;;;;;;;x;;;;
PROV239;Gannentaha;;;;;;;;;;x;;;;
PROV240;Kaniatarakwàronte;;;;;;;;;;x;;;;
PROV241;Quinetucket;;;;;;;;;;x;;;;
PROV242;Nau Refugi;;;;;;;;;;x;;;;
PROV243;Trimontium;;;;;;;;;;x;;;;
PROV244;Efraïm;;;;;;;;;;x;;;;
PROV245;Nipmuc;;;;;;;;;;x;;;;
PROV246;Sokoki;;;;;;;;;;x;;;;
PROV247;Naua Brista;;;;;;;;;;x;;;;
PROV248;Novus Rotomagus;;;;;;;;;;x;;;;
PROV249;Pòrt Condate;;;;;;;;;;x;;;;
PROV250;Aroostock;;;;;;;;;;x;;;;
PROV253;Ynys Bréanainn;;;;;;;;;;x;;;;
PROV254;Beannchor;;;;;;;;;;x;;;;
PROV255;Dairre;;;;;;;;;;x;;;;
PROV256;Ard Mhacha;;;;;;;;;;x;;;;
PROV257;Dún na nGall;;;;;;;;;;x;;;;
PROV258;Gaillimh;;;;;;;;;;x;;;;
PROV259;Sligeach;;;;;;;;;;x;;;;
PROV260;Corcaigh;;;;;;;;;;x;;;;
PROV261;Luimneach;;;;;;;;;;x;;;;
PROV262;Caer Siúire;;;;;;;;;;x;;;;
PROV263;Dulyn;;;;;;;;;;x;;;;
PROV264;Cell Derw;;;;;;;;;;x;;;;
PROV265;Llyn Garman;;;;;;;;;;x;;;;
PROV266;Devana;;;;;;;;;;x;;;;
PROV267;Inbhirys;;;;;;;;;;x;;;;
PROV268;Horrea;;;;;;;;;;x;;;;
PROV269;Dineidyn;;;;;;;;;;x;;;;
PROV270;Iuddeu;;;;;;;;;;x;;;;
PROV271;Glascaid;;;;;;;;;;x;;;;
PROV272;Dinrhyd;;;;;;;;;;x;;;;
PROV273;Castreleon;;;;;;;;;;x;;;;
PROV274;Segeint;;;;;;;;;;x;;;;
PROV275;Lavobrinta;;;;;;;;;;x;;;;
PROV276;Varis;;;;;;;;;;x;;;;
PROV277;Setantiorum;;;;;;;;;;x;;;;
PROV278;Mancastrel;;;;;;;;;;x;;;;
PROV279;Ligualid;;;;;;;;;;x;;;;
PROV280;Vinovia;;;;;;;;;;x;;;;
PROV281;Catraeth;;;;;;;;;;x;;;;
PROV282;Loidis;;;;;;;;;;x;;;;
PROV283;Danum;;;;;;;;;;x;;;;
PROV284;Pencryg;;;;;;;;;;x;;;;
PROV285;Aberddui;;;;;;;;;;x;;;;
PROV286;Castreguricon;;;;;;;;;;x;;;;
PROV287;Castreluitcoyt;;;;;;;;;;x;;;;
PROV288;Cobauc;;;;;;;;;;x;;;;
PROV289;Castrecorion;;;;;;;;;;x;;;;
PROV290;Lindun;;;;;;;;;;x;;;;
PROV291;Castregrauth;;;;;;;;;;x;;;;
PROV292;Venta;;;;;;;;;;x;;;;
PROV293;Castrecolun;;;;;;;;;;x;;;;
PROV294;Elia;;;;;;;;;;x;;;;
PROV295;Castremincip;;;;;;;;;;x;;;;
PROV296;Gloiu;;;;;;;;;;x;;;;
PROV297;Esca;;;;;;;;;;x;;;;
PROV298;Acquesoules;;;;;;;;;;x;;;;
PROV299;Bosvena;;;;;;;;;;x;;;;
PROV300;Llondin;;;;;;;;;;x;;;;
PROV301;Dubris;;;;;;;;;;x;;;;
PROV302;Regnent;;;;;;;;;;x;;;;
PROV303;Guinntguic;;;;;;;;;;x;;;;
PROV304;Manaw;;;;;;;;;;x;;;;
PROV310;Grauthelleren;;;;;;;;;;x;;;;
PROV313;Oslo;;;;;;;;;;x;;;;
PROV319;Åstersånn;;;;;;;;;;x;;;;
PROV336;Uleåborg;;;;;;;;;;x;;;;
PROV337;Kajana;;;;;;;;;;x;;;;
PROV338;Torneå;;;;;;;;;;x;;;;
PROV339;Viborg;;;;;;;;;;x;;;;
PROV340;Kotka;;;;;;;;;;x;;;;
PROV341;Sankt Michel;;;;;;;;;;x;;;;
PROV342;Kuopio;;;;;;;;;;x;;;;
PROV343;Helsingfors;;;;;;;;;;x;;;;
PROV344;Tavastehus;;;;;;;;;;x;;;;
PROV345;Åbo;;;;;;;;;;x;;;;
PROV378;Walachra;;;;;;;;;;x;;;;
PROV379;Eindovia;;;;;;;;;;x;;;;
PROV387;Brussèlas;;;;;;;;;;x;;;;
PROV388;Brujas;;;;;;;;;;x;;;;
PROV389;Ganda;;;;;;;;;;x;;;;
PROV390;Andoverpis;;;;;;;;;;x;;;;
PROV393;Turnac;;;;;;;;;;x;;;;
PROV394;Carnotus;;;;;;;;;;x;;;;
PROV395;Legia;;;;;;;;;;x;;;;
PROV397;Lucilinburgus;;;;;;;;;;x;;;;
PROV398;Aurlaun;;;;;;;;;;x;;;;
PROV399;Insulano;;;;;;;;;;x;;;;
PROV400;Dunquerca;;;;;;;;;;x;;;;
PROV401;Athrebate;;;;;;;;;;x;;;;
PROV402;Amyans;;;;;;;;;;x;;;;
PROV403;Lauon;Lauon;Lauon;;Lauon;;;;;;;;;x;;;;
PROV404;Camarac;;;;;;;;;;x;;;;
PROV405;Maceriae;;;;;;;;;;x;;;;
PROV406;Tròias;;;;;;;;;;x;;;;
PROV407;Calmont;;;;;;;;;;x;;;;
PROV408;Catalaun;;;;;;;;;;x;;;;
PROV409;Argentorate;;;;;;;;;;x;;;;
PROV410;Columbaria;;;;;;;;;;x;;;;
PROV411;Nancí;;;;;;;;;;x;;;;
PROV412;Mettis;Mettis;Mettis;;Mettis;;;;;;;;;x;;;;
PROV413;Virdun;;;;;;;;;;x;;;;
PROV414;Spinalei;;;;;;;;;;x;;;;
PROV415;Rodumo;;;;;;;;;;x;;;;
PROV416;Ebrieis;;;;;;;;;;x;;;;
PROV417;Alencione;;;;;;;;;;x;;;;
PROV418;Cadumo;;;;;;;;;;x;;;;
PROV419;Channel Islands;;;;;;;;;;x;;;;
PROV420;Brista;;;;;;;;;;x;;;;
PROV421;Briac;;;;;;;;;;x;;;;
PROV422;Veneda;;;;;;;;;;x;;;;
PROV423;Namntas;;;;;;;;;;x;;;;
PROV424;Redhonis;;;;;;;;;;x;;;;
PROV425;París;;;;;;;;;;x;;;;
PROV426;Carnutis;;;;;;;;;;x;;;;
PROV427;Melun;;;;;;;;;;x;;;;
PROV428;Digum;;;;;;;;;;x;;;;
PROV429;Aussèrra;;;;;;;;;;x;;;;
PROV430;Mulineia;;;;;;;;;;x;;;;
PROV431;Matisco;;;;;;;;;;x;;;;
PROV432;Besontion;;;;;;;;;;x;;;;
PROV433;Ledo;;;;;;;;;;x;;;;
PROV434;Angieus;;;;;;;;;;x;;;;
PROV435;Vala;;;;;;;;;;x;;;;
PROV436;Clemanis;;;;;;;;;;x;;;;
PROV437;Bairnesiac;;;;;;;;;;x;;;;
PROV438;Aurliani;;;;;;;;;;x;;;;
PROV439;Burgis;;;;;;;;;;x;;;;
PROV440;Bleso;;;;;;;;;;x;;;;
PROV441;Tors;Tors;Tors;;Tors;;;;;;;;;x;;;;
PROV442;Rocella;;;;;;;;;;x;;;;
PROV443;Peitieus;;;;;;;;;;x;;;;
PROV444;Aquilisima;;;;;;;;;;x;;;;
PROV445;Limòtges;;;;;;;;;;x;;;;
PROV446;Castelraolh;;;;;;;;;;x;;;;
PROV447;Tutela;;;;;;;;;;x;;;;
PROV448;Auvernha;;;;;;;;;;x;;;;
PROV449;Aurlhac;;;;;;;;;;x;;;;
PROV450;Cadurcum;;;;;;;;;;x;;;;
PROV451;Liyun;;;;;;;;;;x;;;;
PROV452;Faurensa;;;;;;;;;;x;;;;
PROV453;Valainsya;;;;;;;;;;x;;;;
PROV454;Grassanòbol;;;;;;;;;;x;;;;
PROV455;Tolosa;;;;;;;;;;x;;;;
PROV456;Montalban;Montalban;Montalban;;Montalban;;;;;;;;;x;;;;
PROV457;Fois;Fois;Fois;;Fois;;;;;;;;;x;;;;
PROV458;Burdelh;;;;;;;;;;x;;;;
PROV459;Lo Mont;;;;;;;;;;x;;;;
PROV460;Pau;Pau;Pau;;Pau;;;;;;;;;x;;;;
PROV461;Montpelhièr;;;;;;;;;;x;;;;
PROV462;Rodés;;;;;;;;;;x;;;;
PROV463;Narbona;;;;;;;;;;x;;;;
PROV464;Perpinianum;;;;;;;;;;x;;;;
PROV465;Aniciacus;;;;;;;;;;x;;;;
PROV466;Camberiacum;;;;;;;;;;x;;;;
PROV467;Massalia;;;;;;;;;;x;;;;
PROV468;Avennio;;;;;;;;;;x;;;;
PROV469;Dinia;;;;;;;;;;x;;;;
PROV470;Telo;;;;;;;;;;x;;;;
PROV471;Frejurio;Frejurio;Frejurio;;Frejurio;;;;;;;;;x;;;;
PROV472;Nicea;Nicea;Nicea;;Nicea;;;;;;;;;x;;;;
PROV474;Lucus;;;;;;;;;;x;;;;
PROV475;Ovetum;;;;;;;;;;x;;;;
PROV476;Iria;;;;;;;;;;x;;;;
PROV477;Legio;;;;;;;;;;x;;;;
PROV478;Andreacum;;;;;;;;;;x;;;;
PROV480;Vallisoletum;;;;;;;;;;x;;;;
PROV481;Oria;;;;;;;;;;x;;;;
PROV482;Salmantica;;;;;;;;;;x;;;;
PROV483;Abulo;;;;;;;;;;x;;;;
PROV484;Emerita;;;;;;;;;;x;;;;
PROV485;Plagiaria;;;;;;;;;;x;;;;
PROV487;Matritum;;;;;;;;;;x;;;;
PROV488;Segontia;;;;;;;;;;x;;;;
PROV489;Toletum;;;;;;;;;;x;;;;
PROV490;Loutia;;;;;;;;;;x;;;;
PROV491;Laminium;;;;;;;;;;x;;;;
PROV492;Bilbaum;;;;;;;;;;x;;;;
PROV493;Pompelo;;;;;;;;;;x;;;;
PROV494;Vareia;;;;;;;;;;x;;;;
PROV495;Caesaraugusta;;;;;;;;;;x;;;;
PROV496;Osca;;;;;;;;;;x;;;;
PROV497;Terulium;;;;;;;;;;x;;;;
PROV498;Barcino;;;;;;;;;;x;;;;
PROV499;Gerunda;;;;;;;;;;x;;;;
PROV500;Ilerda;;;;;;;;;;x;;;;
PROV501;Tarraco;;;;;;;;;;x;;;;
PROV502;Ballearica;;;;;;;;;;x;;;;
PROV503;Valentia;;;;;;;;;;x;;;;
PROV504;Sebelaci;;;;;;;;;;x;;;;
PROV505;Lucentum;;;;;;;;;;x;;;;
PROV506;Carthagenna;;;;;;;;;;x;;;;
PROV508;Celtide;;;;;;;;;;x;;;;
PROV509;Hispalis;;;;;;;;;;x;;;;
PROV510;Corduba;;;;;;;;;;x;;;;
PROV511;Onoba;;;;;;;;;;x;;;;
PROV512;Gades;;;;;;;;;;x;;;;
PROV513;Iliberris;;;;;;;;;;x;;;;
PROV514;Malaca;;;;;;;;;;x;;;;
PROV515;Urci;;;;;;;;;;x;;;;
PROV516;Gaiena;;;;;;;;;;x;;;;
PROV517;Mons Calpe;;;;;;;;;;x;;;;
PROV518;Bracara;;;;;;;;;;x;;;;
PROV519;Aquae Flaviae;;;;;;;;;;x;;;;
PROV520;Mirobriga;;;;;;;;;;x;;;;
PROV521;Olisipona;;;;;;;;;;x;;;;
PROV525;Ebora;;;;;;;;;;x;;;;
PROV530;Lubeek;;;;;;;;;;x;;;;
PROV532;Hiluni;;;;;;;;;;x;;;;
PROV535;Nygeburg;;;;;;;;;;x;;;;
PROV536;Brunswijk;;;;;;;;;;x;;;;
PROV538;Osenbrugge;;;;;;;;;;x;;;;
PROV544;Zuarin;;;;;;;;;;x;;;;
PROV547;Swinemond;;;;;;;;;;x;;;;
PROV548;Rugia;;;;;;;;;;x;;;;
PROV558;Misni;;;;;;;;;;x;;;;
PROV559;Lipsia;;;;;;;;;;x;;;;
PROV561;Wimari;;;;;;;;;;x;;;;
PROV562;Gotaha;;;;;;;;;;x;;;;
PROV563;Meininga;;;;;;;;;;x;;;;
PROV564;Nida;;;;;;;;;;x;;;;
PROV565;Widibada;;;;;;;;;;x;;;;
PROV569;Lodun;;;;;;;;;;x;;;;
PROV570;Maiança;;;;;;;;;;x;;;;
PROV571;Luthra;;;;;;;;;;x;;;;
PROV572;Trevèri;;;;;;;;;;x;;;;
PROV573;Sarabrei;;;;;;;;;;x;;;;
PROV574;Crussinhac;;;;;;;;;;x;;;;
PROV575;Colonia;;;;;;;;;;x;;;;
PROV576;Aquisgran;;;;;;;;;;x;;;;
PROV577;Clivia;;;;;;;;;;x;;;;
PROV578;Thusila;;;;;;;;;;x;;;;
PROV580;Dortmond;;;;;;;;;;x;;;;
PROV581;Mimigernaford;;;;;;;;;;x;;;;
PROV586;Aquensa;;;;;;;;;;x;;;;
PROV587;Brisjac;;;;;;;;;;x;;;;
PROV588;Constança;;;;;;;;;;x;;;;
PROV589;Stada;;;;;;;;;;x;;;;
PROV590;Helibrunna;;;;;;;;;;x;;;;
PROV591;Dibenga;;;;;;;;;;x;;;;
PROV592;Augusta;;;;;;;;;;x;;;;
PROV593;Hulma;;;;;;;;;;x;;;;
PROV594;Brayudun;;;;;;;;;;x;;;;
PROV595;Paginza;;;;;;;;;;x;;;;
PROV596;Ascapha;;;;;;;;;;x;;;;
PROV597;Uburzis;;;;;;;;;;x;;;;
PROV598;Babenburga;;;;;;;;;;x;;;;
PROV599;Monachia;;;;;;;;;;x;;;;
PROV600;Jovisura;;;;;;;;;;x;;;;
PROV601;Rorpahe;;;;;;;;;;x;;;;
PROV602;Radaspona;;;;;;;;;;x;;;;
PROV603;Turic;;;;;;;;;;x;;;;
PROV604;Basilèa;;;;;;;;;;x;;;;
PROV605;Berna;;;;;;;;;;x;;;;
PROV606;Luciaria;;;;;;;;;;x;;;;
PROV607;Genava;;;;;;;;;;x;;;;
PROV608;Naucastel;;;;;;;;;;x;;;;
PROV609;Sion;;;;;;;;;;x;;;;
PROV611;Curia;;;;;;;;;;x;;;;
PROV612;Onis;;;;;;;;;;x;;;;
PROV613;Juvav;;;;;;;;;;x;;;;
PROV614;Brigança;;;;;;;;;;x;;;;
PROV616;Gratia;;;;;;;;;;x;;;;
PROV617;Aerze;;;;;;;;;;x;;;;
PROV619;Vindobona;;;;;;;;;;x;;;;
PROV620;Treisma;;;;;;;;;;x;;;;
PROV621;Chremis;;;;;;;;;;x;;;;
PROV622;Lentia;;;;;;;;;;x;;;;
PROV624;Muteno;;;;;;;;;;x;;;;
PROV633;Gerulata;;;;;;;;;;x;;;;
PROV634;Laugaricio;;;;;;;;;;x;;;;
PROV635;Nitrava;;;;;;;;;;x;;;;
PROV637;Cassovia;;;;;;;;;;x;;;;
PROV638;Rosnavia;;;;;;;;;;x;;;;
PROV641;Aquincum;;;;;;;;;;x;;;;
PROV642;Arrabona;;;;;;;;;;x;;;;
PROV682;Budorgis;;;;;;;;;;x;;;;
PROV690;Gdansk;;;;;;;;;;x;;;;
PROV693;Elblag;;;;;;;;;;x;;;;
PROV695;Twangste;;;;;;;;;;x;;;;
PROV696;Alnestabs;;;;;;;;;;x;;;;
PROV697;Gabin;;;;;;;;;;x;;;;
PROV700;Bydgoszcz;;;;;;;;;;x;;;;
PROV718;Menka;;;;;;;;;;x;;;;
PROV721;Osta;;;;;;;;;;x;;;;
PROV722;Noara;;;;;;;;;;x;;;;
PROV723;Lissandria;;;;;;;;;;x;;;;
PROV727;Bérghem;;;;;;;;;;x;;;;
PROV728;Bressia;;;;;;;;;;x;;;;
PROV729;Venessia;;;;;;;;;;x;;;;
PROV732;Trevis;;;;;;;;;;x;;;;
PROV735;Bolsan;;;;;;;;;;x;;;;
PROV741;Bològna;;;;;;;;;;x;;;;
PROV788;Diluntum;;;;;;;;;;x;;;;
PROV744;Florensa;;;;;;;;;;x;;;;
PROV745;Livorn;;;;;;;;;;x;;;;
PROV748;Grosset;;;;;;;;;;x;;;;
PROV749;Roma;;;;;;;;;;x;;;;
PROV754;Nàpoli;;;;;;;;;;x;;;;
PROV774;Senia;;;;;;;;;;x;;;;
PROV780;Spalatro;;;;;;;;;;x;;;;
PROV781;Jadera;;;;;;;;;;x;;;;
PROV782;Ragusa;;;;;;;;;;x;;;;
PROV783;Apasulf;;;;;;;;;;x;;;;
PROV785;Adladio;;;;;;;;;;x;;;;
PROV789;Delminium;;;;;;;;;;x;;;;
PROV791;Sirmiu;;;;;;;;;;x;;;;
PROV792;Panciova;;;;;;;;;;x;;;;
PROV794;Singhedhu;;;;;;;;;;x;;;;
PROV797;Capeduniu;;;;;;;;;;x;;;;
PROV798;Naissus;;;;;;;;;;x;;;;
PROV799;Bederiana;;;;;;;;;;x;;;;
PROV800;Ulcinio;;;;;;;;;;x;;;;
PROV802;Ulpiana;;;;;;;;;;x;;;;
PROV803;Petrizên;;;;;;;;;;x;;;;
PROV804;Dardanici;;;;;;;;;;x;;;;
PROV805;Salonic;;;;;;;;;;x;;;;
PROV806;Scupi;;;;;;;;;;x;;;;
PROV808;Petrici;;;;;;;;;;x;;;;
PROV809;Serdonpol;;;;;;;;;;x;;;;
PROV810;Dunonia;;;;;;;;;;x;;;;
PROV811;Sexaginta;;;;;;;;;;x;;;;
PROV812;Storgosia;;;;;;;;;;x;;;;
PROV813;Simeonis;;;;;;;;;;x;;;;
PROV815;Pulpudeva;;;;;;;;;;x;;;;
PROV816;Vereia;;;;;;;;;;x;;;;
PROV822;Poligir;;;;;;;;;;x;;;;
PROV823;Creshtinopol;;;;;;;;;;x;;;;
PROV824;Ianina;;;;;;;;;;x;;;;
PROV828;Adrianopl;;;;;;;;;;x;;;;
PROV829;Xantheia;;;;;;;;;;x;;;;
PROV830;Alexandropol;;;;;;;;;;x;;;;
PROV832;Demetrias;;;;;;;;;;x;;;;
PROV834;Atena;;;;;;;;;;x;;;;
PROV837;Naupactus;;;;;;;;;;x;;;;
PROV838;Chalcis;;;;;;;;;;x;;;;
PROV847;Cydonia;;;;;;;;;;x;;;;
PROV848;Gortyna;;;;;;;;;;x;;;;
PROV849;Theranda;;;;;;;;;;x;;;;
PROV850;Scodra;;;;;;;;;;x;;;;
PROV851;Dirracul;;;;;;;;;;x;;;;
PROV852;Avlona;;;;;;;;;;x;;;;
PROV852;Liurocastru;;;;;;;;;;x;;;;
PROV858;Noua Bizye;;;;;;;;;;x;;;;
PROV859;Callipol;;;;;;;;;;x;;;;
PROV860;Constantinopol;;;;;;;;;;x;;;;
PROV861;Scutari;;;;;;;;;;x;;;;
PROV862;Nicomedia;;;;;;;;;;x;;;;
PROV863;Prusa;;;;;;;;;;x;;;;
PROV864;Castelvechi;;;;;;;;;;x;;;;
PROV865;Abydus;;;;;;;;;;x;;;;
PROV893;Amida;;;;;;;;;;x;;;;
PROV901;Dura;;;;;;;;;;x;;;;
PROV903;Emesa;;;;;;;;;;x;;;;
PROV905;Laodicea;;;;;;;;;;x;;;;
PROV906;Suada;;;;;;;;;;x;;;;
PROV908;Philadelphia;;;;;;;;;;x;;;;
PROV909;Gerasa;;;;;;;;;;x;;;;
PROV910;Basiensis;;;;;;;;;;x;;;;
PROV913;Berytus;;;;;;;;;;x;;;;
PROV914;Ascalonia;;;;;;;;;;x;;;;
PROV918;Neapolis;;;;;;;;;;x;;;;
PROV923;Ninova;;;;;;;;;;x;;;;
PROV924;Arbela;;;;;;;;;;x;;;;
PROV925;Arrapha;;;;;;;;;;x;;;;
PROV926;Tizpon;;;;;;;;;;x;;;;
PROV940;Pina;;;;;;;;;;x;;;;
PROV946;Polockas;;;;;;;;;;x;;;;
PROV964;Eupatoria;;;;;;;;;;x;;;;
PROV966;Bosporus;;;;;;;;;;x;;;;
PROV967;Theodosia;;;;;;;;;;x;;;;
PROV970;Olbia;;;;;;;;;;x;;;;
PROV971;Borysthenes;;;;;;;;;;x;;;;
PROV972;Kodak;;;;;;;;;;x;;;;
PROV978;Kharka;;;;;;;;;;x;;;;
PROV979;Tanais;;;;;;;;;;x;;;;
PROV981;Vynva;;;;;;;;;;x;;;;
PROV995;Nyen;;;;;;;;;;x;;;;
PROV997;Oudova;;;;;;;;;;x;;;;
PROV1006;Pihkova;;;;;;;;;;x;;;;
PROV1008;Moshka;;;;;;;;;;x;;;;
PROV1013;Sungir;;;;;;;;;;x;;;;
PROV1020;Oka-Su;;;;;;;;;;x;;;;
PROV1025;Tomba;;;;;;;;;;x;;;;
PROV1029;Glaz;;;;;;;;;;x;;;;
PROV1032;Bolghar;;;;;;;;;;x;;;;
PROV1039;Sary-Su;;;;;;;;;;x;;;;
PROV1042;Bashkort;;;;;;;;;;x;;;;
PROV1044;Or-Su;;;;;;;;;;x;;;;
PROV1048;Azara;;;;;;;;;;x;;;;
PROV1049;Phanagoria;;;;;;;;;;x;;;;
PROV1050;Shetkala;;;;;;;;;;x;;;;
PROV1054;Biraparach;;;;;;;;;;x;;;;
PROV1055;Sunzhæ;;;;;;;;;;x;;;;
PROV1056;Beshtau;;;;;;;;;;x;;;;
PROV1058;Iset-Su;;;;;;;;;;x;;;;
PROV1059;Siläbe;;;;;;;;;;x;;;;
PROV1062;Ob-Su;;;;;;;;;;x;;;;
PROV1063;Tomshähär;;;;;;;;;;x;;;;
PROV1064;Om-Su;;;;;;;;;;x;;;;
PROV1072;Ohotagawa;;;;;;;;;;x;;;;
PROV1073;Ewenkedo;;;;;;;;;;x;;;;
PROV1074;Hiyaminato;;;;;;;;;;x;;;;
PROV1075;Kirmän Irkhut;;;;;;;;;;x;;;;
PROV1076;Buriadshähär;;;;;;;;;;x;;;;
PROV1077;Izyr-Su;;;;;;;;;;x;;;;
PROV1090;Tp'xis;;;;;;;;;;x;;;;
PROV1111;Sablagh;;;;;;;;;;x;;;;
PROV1187;Ertis-Qala;;;;;;;;;;x;;;;
PROV1539;Zhoujing;;;;;;;;;;x;;;;
PROV1612;Khanbaliq;;;;;;;;;;x;;;;
PROV1680;Macanituru;;;;;;;;;;x;;;;
PROV1681;Rusaddir;;;;;;;;;;x;;;;
PROV1682;Vulubili;;;;;;;;;;x;;;;
PROV1683;Molochath;;;;;;;;;;x;;;;
PROV1684;Galafa;;;;;;;;;;x;;;;
PROV1685;Sala;;;;;;;;;;x;;;;
PROV1686;Tingis;;;;;;;;;;x;;;;
PROV1687;Sèptu;;;;;;;;;;x;;;;
PROV1688;Parietina;;;;;;;;;;x;;;;
PROV1690;Bocamu;;;;;;;;;;x;;;;
PROV1691;Zama;;;;;;;;;;x;;;;
PROV1693;Misocara;;;;;;;;;;x;;;;
PROV1694;Agna;;;;;;;;;;x;;;;
PROV1695;Cerne;;;;;;;;;;x;;;;
